/home/neet/.pyenv/versions/3.13.12/lib/python3.13/site-packages/stable_baselines3/common/on_policy_algorithm.py:150: UserWarning: You are trying to run TRPO on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
============================================================
 SeqSQLi v2 — TRPO Training
 URL         : http://localhost:8888/Less-1/
 Filter type : none
 Mode        : online-WAF (dual-signal: union+error)
 Payload pool: 108 validated from payloads_union_less1.csv
               (union=108, error=0)
 Timesteps   : 150000
 Target KL   : 0.01
 Seed        : 3
============================================================
  Ep  940 | SR=0% | Steps=15.0 | R=-27.81
  Ep  950 | SR=0% | Steps=15.0 | R=-30.29
  Ep  960 | SR=0% | Steps=15.0 | R=-25.13
  Ep  970 | SR=0% | Steps=15.0 | R=-33.11
  Ep  980 | SR=0% | Steps=15.0 | R=-26.87
  Ep  990 | SR=0% | Steps=15.0 | R=-31.12
  Ep 1000 | SR=0% | Steps=15.0 | R=-30.59
  Ep 1010 | SR=0% | Steps=15.0 | R=-29.10
  Ep 1020 | SR=0% | Steps=15.0 | R=-28.08
  Ep 1030 | SR=0% | Steps=15.0 | R=-24.91
  Ep 1040 | SR=0% | Steps=15.0 | R=-31.06
  Ep 1050 | SR=0% | Steps=15.0 | R=-25.58
  Ep 1060 | SR=0% | Steps=15.0 | R=-27.62
  Ep 1070 | SR=0% | Steps=15.0 | R=-21.72
  Ep 1080 | SR=0% | Steps=15.0 | R=-23.82
  Ep 1090 | SR=0% | Steps=15.0 | R=-22.96
  Ep 1100 | SR=0% | Steps=15.0 | R=-26.98
  Ep 1110 | SR=0% | Steps=15.0 | R=-25.26
  Ep 1120 | SR=0% | Steps=15.0 | R=-23.64
  Ep 1130 | SR=0% | Steps=15.0 | R=-23.09
  Ep 1140 | SR=0% | Steps=15.0 | R=-19.05
  Ep 1150 | SR=0% | Steps=15.0 | R=-29.02
  Ep 1160 | SR=0% | Steps=15.0 | R=-27.35
  Ep 1170 | SR=0% | Steps=15.0 | R=-15.00
  Ep 1180 | SR=0% | Steps=15.0 | R=-22.02
  Ep 1190 | SR=0% | Steps=15.0 | R=-25.18
  Ep 1200 | SR=0% | Steps=15.0 | R=-23.30
  Ep 1210 | SR=0% | Steps=15.0 | R=-22.94
  Ep 1220 | SR=0% | Steps=15.0 | R=-19.56
  Ep 1230 | SR=0% | Steps=15.0 | R=-23.46
  Ep 1240 | SR=0% | Steps=15.0 | R=-16.53
  Ep 1250 | SR=0% | Steps=15.0 | R=-12.26
  Ep 1260 | SR=0% | Steps=15.0 | R=-20.48
  Ep 1270 | SR=0% | Steps=15.0 | R=-21.93
  Ep 1280 | SR=0% | Steps=15.0 | R=-16.82
  Ep 1290 | SR=0% | Steps=15.0 | R=-14.66
  Ep 1300 | SR=0% | Steps=15.0 | R=-15.32
  Ep 1310 | SR=0% | Steps=15.0 | R=-23.28
  Ep 1320 | SR=0% | Steps=15.0 | R=-12.01
  Ep 1330 | SR=0% | Steps=15.0 | R=-17.00
  Ep 1340 | SR=0% | Steps=15.0 | R=-15.40
  Ep 1350 | SR=0% | Steps=15.0 | R=-18.74
  Ep 1360 | SR=0% | Steps=15.0 | R=-21.23
  Ep 1370 | SR=0% | Steps=15.0 | R=-16.08
  Ep 1380 | SR=0% | Steps=15.0 | R=-20.28
  Ep 1390 | SR=0% | Steps=15.0 | R=-24.02
  Ep 1400 | SR=0% | Steps=15.0 | R=-21.97
  Ep 1410 | SR=0% | Steps=15.0 | R=-17.85
  Ep 1420 | SR=0% | Steps=15.0 | R=-15.90
  Ep 1430 | SR=0% | Steps=15.0 | R=-12.51
  Ep 1440 | SR=0% | Steps=15.0 | R=-12.31
  Ep 1450 | SR=0% | Steps=15.0 | R=-17.50
  Ep 1460 | SR=0% | Steps=15.0 | R=-15.43
  Ep 1470 | SR=0% | Steps=15.0 | R=-18.95
  Ep 1480 | SR=0% | Steps=15.0 | R=-11.75
  Ep 1490 | SR=0% | Steps=15.0 | R=-19.63
  Ep 1500 | SR=0% | Steps=15.0 | R=-19.51
  Ep 1510 | SR=0% | Steps=15.0 | R=-21.11
  Ep 1520 | SR=0% | Steps=15.0 | R=-19.87
  Ep 1530 | SR=0% | Steps=15.0 | R=-16.20
  Ep 1540 | SR=0% | Steps=15.0 | R=-16.92
  Ep 1550 | SR=0% | Steps=15.0 | R=-13.35
  Ep 1560 | SR=0% | Steps=15.0 | R=-21.58
  Ep 1570 | SR=0% | Steps=15.0 | R=-18.93
  Ep 1580 | SR=0% | Steps=15.0 | R=-14.19
  Ep 1590 | SR=0% | Steps=15.0 | R=-13.44
  Ep 1600 | SR=0% | Steps=15.0 | R=-19.52
  Ep 1610 | SR=0% | Steps=15.0 | R=-18.24
  Ep 1620 | SR=0% | Steps=15.0 | R=-16.52
  Ep 1630 | SR=0% | Steps=15.0 | R=-9.85
  Ep 1640 | SR=0% | Steps=15.0 | R=-20.17
  Ep 1650 | SR=0% | Steps=15.0 | R=-21.30
  Ep 1660 | SR=0% | Steps=15.0 | R=-17.35
  Ep 1670 | SR=0% | Steps=15.0 | R=-12.71
  Ep 1680 | SR=0% | Steps=15.0 | R=-16.75
  Ep 1690 | SR=0% | Steps=15.0 | R=-22.15
  Ep 1700 | SR=0% | Steps=15.0 | R=-23.49
  Ep 1710 | SR=0% | Steps=15.0 | R=-14.51
  Ep 1720 | SR=0% | Steps=15.0 | R=-14.59
  Ep 1730 | SR=0% | Steps=15.0 | R=-22.11
  Ep 1740 | SR=0% | Steps=15.0 | R=-15.77
  Ep 1750 | SR=0% | Steps=15.0 | R=-21.70
  Ep 1760 | SR=0% | Steps=15.0 | R=-11.44
  Ep 1770 | SR=0% | Steps=15.0 | R=-9.37
  Ep 1780 | SR=0% | Steps=15.0 | R=-12.06
  Ep 1790 | SR=0% | Steps=15.0 | R=-19.11
  Ep 1800 | SR=0% | Steps=15.0 | R=-10.15
  Ep 1810 | SR=0% | Steps=15.0 | R=-10.39
  Ep 1820 | SR=0% | Steps=15.0 | R=-17.57
  Ep 1830 | SR=0% | Steps=15.0 | R=-8.54
  Ep 1840 | SR=0% | Steps=15.0 | R=-16.53
  Ep 1850 | SR=0% | Steps=15.0 | R=-16.89
  Ep 1860 | SR=0% | Steps=15.0 | R=-15.44
  Ep 1870 | SR=0% | Steps=15.0 | R=-10.54
  Ep 1880 | SR=0% | Steps=15.0 | R=-14.55
  Ep 1890 | SR=0% | Steps=15.0 | R=-6.63
  Ep 1900 | SR=0% | Steps=15.0 | R=-14.05
  Ep 1910 | SR=0% | Steps=15.0 | R=-20.82
  Ep 1920 | SR=0% | Steps=15.0 | R=-22.35
  Ep 1930 | SR=0% | Steps=15.0 | R=-18.67
  Ep 1940 | SR=0% | Steps=15.0 | R=-14.49
  Ep 1950 | SR=0% | Steps=15.0 | R=-18.31
  Ep 1960 | SR=0% | Steps=15.0 | R=-19.59
  Ep 1970 | SR=0% | Steps=15.0 | R=-11.61
  Ep 1980 | SR=0% | Steps=15.0 | R=-9.28
  Ep 1990 | SR=0% | Steps=15.0 | R=-8.88
  Ep 2000 | SR=0% | Steps=15.0 | R=-18.00
  Ep 2010 | SR=0% | Steps=15.0 | R=-27.07
  Ep 2020 | SR=0% | Steps=15.0 | R=-8.59
  Ep 2030 | SR=0% | Steps=15.0 | R=-12.78
  Ep 2040 | SR=0% | Steps=15.0 | R=-14.36
  Ep 2050 | SR=0% | Steps=15.0 | R=-26.27
  Ep 2060 | SR=0% | Steps=15.0 | R=-21.96
  Ep 2070 | SR=0% | Steps=15.0 | R=-9.17
  Ep 2080 | SR=0% | Steps=15.0 | R=-15.85
  Ep 2090 | SR=0% | Steps=15.0 | R=-10.85
  Ep 2100 | SR=0% | Steps=15.0 | R=-21.72
  Ep 2110 | SR=0% | Steps=15.0 | R=-14.23
  Ep 2120 | SR=0% | Steps=15.0 | R=-26.66
