/home/neet/.pyenv/versions/3.13.12/lib/python3.13/site-packages/stable_baselines3/common/on_policy_algorithm.py:150: UserWarning: You are trying to run PPO on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
============================================================
 SeqSQLi v2 — PPO Training
 URL         : http://localhost:8888/Less-1/
 Filter type : none
 Mode        : online-WAF (dual-signal: union+error)
 Payload pool: 108 validated from payloads_union_less1.csv
               (union=108, error=0)
 Timesteps   : 150000
 Seed        : 2
============================================================
  Ep  940 | SR=0% | Steps=15.0 | R=-31.20
  Ep  950 | SR=0% | Steps=15.0 | R=-31.73
  Ep  960 | SR=0% | Steps=15.0 | R=-31.61
  Ep  970 | SR=0% | Steps=15.0 | R=-30.28
  Ep  980 | SR=0% | Steps=15.0 | R=-30.64
  Ep  990 | SR=0% | Steps=15.0 | R=-31.08
  Ep 1000 | SR=0% | Steps=15.0 | R=-31.79
  Ep 1010 | SR=0% | Steps=15.0 | R=-24.89
  Ep 1020 | SR=0% | Steps=15.0 | R=-29.04
  Ep 1030 | SR=0% | Steps=15.0 | R=-27.05
  Ep 1040 | SR=0% | Steps=15.0 | R=-31.46
  Ep 1050 | SR=0% | Steps=15.0 | R=-29.72
  Ep 1060 | SR=0% | Steps=15.0 | R=-24.90
  Ep 1070 | SR=0% | Steps=15.0 | R=-26.57
  Ep 1080 | SR=0% | Steps=15.0 | R=-26.07
  Ep 1090 | SR=0% | Steps=15.0 | R=-25.42
  Ep 1100 | SR=0% | Steps=15.0 | R=-28.11
  Ep 1110 | SR=0% | Steps=15.0 | R=-32.49
  Ep 1120 | SR=0% | Steps=15.0 | R=-29.52
  Ep 1130 | SR=0% | Steps=15.0 | R=-28.12
  Ep 1140 | SR=0% | Steps=15.0 | R=-24.79
  Ep 1150 | SR=0% | Steps=15.0 | R=-23.66
  Ep 1160 | SR=0% | Steps=15.0 | R=-17.88
  Ep 1170 | SR=0% | Steps=15.0 | R=-28.53
  Ep 1180 | SR=0% | Steps=15.0 | R=-19.58
  Ep 1190 | SR=0% | Steps=15.0 | R=-28.73
  Ep 1200 | SR=0% | Steps=15.0 | R=-28.43
  Ep 1210 | SR=0% | Steps=15.0 | R=-15.84
  Ep 1220 | SR=0% | Steps=15.0 | R=-28.51
  Ep 1230 | SR=0% | Steps=15.0 | R=-19.46
  Ep 1240 | SR=0% | Steps=15.0 | R=-16.94
  Ep 1250 | SR=0% | Steps=15.0 | R=-26.86
  Ep 1260 | SR=0% | Steps=15.0 | R=-16.30
  Ep 1270 | SR=0% | Steps=15.0 | R=-13.90
  Ep 1280 | SR=0% | Steps=15.0 | R=-21.92
  Ep 1290 | SR=0% | Steps=15.0 | R=-22.28
  Ep 1300 | SR=0% | Steps=15.0 | R=-18.45
  Ep 1310 | SR=0% | Steps=15.0 | R=-14.49
  Ep 1320 | SR=0% | Steps=15.0 | R=-18.55
  Ep 1330 | SR=0% | Steps=15.0 | R=-19.10
  Ep 1340 | SR=0% | Steps=15.0 | R=-18.57
  Ep 1350 | SR=0% | Steps=15.0 | R=-20.88
  Ep 1360 | SR=0% | Steps=15.0 | R=-14.92
  Ep 1370 | SR=0% | Steps=15.0 | R=-20.29
  Ep 1380 | SR=0% | Steps=15.0 | R=-20.61
  Ep 1390 | SR=0% | Steps=15.0 | R=-14.92
  Ep 1400 | SR=0% | Steps=15.0 | R=-5.38
  Ep 1410 | SR=0% | Steps=15.0 | R=-16.21
  Ep 1420 | SR=0% | Steps=15.0 | R=-12.61
  Ep 1430 | SR=0% | Steps=15.0 | R=-21.17
  Ep 1440 | SR=0% | Steps=15.0 | R=-20.45
  Ep 1450 | SR=0% | Steps=15.0 | R=-17.57
  Ep 1460 | SR=0% | Steps=15.0 | R=-23.90
  Ep 1470 | SR=0% | Steps=15.0 | R=-12.49
  Ep 1480 | SR=0% | Steps=15.0 | R=-21.99
  Ep 1490 | SR=0% | Steps=15.0 | R=-14.39
  Ep 1500 | SR=0% | Steps=15.0 | R=-25.65
  Ep 1510 | SR=0% | Steps=15.0 | R=-13.49
  Ep 1520 | SR=0% | Steps=15.0 | R=-18.57
  Ep 1530 | SR=0% | Steps=15.0 | R=-19.35
  Ep 1540 | SR=0% | Steps=15.0 | R=-13.34
  Ep 1550 | SR=0% | Steps=15.0 | R=-16.08
  Ep 1560 | SR=0% | Steps=15.0 | R=-21.40
  Ep 1570 | SR=0% | Steps=15.0 | R=-21.33
  Ep 1580 | SR=0% | Steps=15.0 | R=-14.40
  Ep 1590 | SR=0% | Steps=15.0 | R=-16.30
  Ep 1600 | SR=0% | Steps=15.0 | R=-22.49
  Ep 1610 | SR=0% | Steps=15.0 | R=-17.36
  Ep 1620 | SR=0% | Steps=15.0 | R=-25.22
  Ep 1630 | SR=0% | Steps=15.0 | R=-19.74
  Ep 1640 | SR=0% | Steps=15.0 | R=-13.65
  Ep 1650 | SR=0% | Steps=15.0 | R=-23.61
  Ep 1660 | SR=0% | Steps=15.0 | R=-23.24
  Ep 1670 | SR=0% | Steps=15.0 | R=-10.00
  Ep 1680 | SR=0% | Steps=15.0 | R=-24.62
  Ep 1690 | SR=0% | Steps=15.0 | R=-19.77
  Ep 1700 | SR=0% | Steps=15.0 | R=-18.18
  Ep 1710 | SR=0% | Steps=15.0 | R=-16.23
  Ep 1720 | SR=0% | Steps=15.0 | R=-19.89
  Ep 1730 | SR=0% | Steps=15.0 | R=-12.65
  Ep 1740 | SR=0% | Steps=15.0 | R=-15.74
  Ep 1750 | SR=0% | Steps=15.0 | R=-8.98
  Ep 1760 | SR=0% | Steps=15.0 | R=-5.95
  Ep 1770 | SR=0% | Steps=15.0 | R=-23.58
  Ep 1780 | SR=0% | Steps=15.0 | R=-17.15
  Ep 1790 | SR=0% | Steps=15.0 | R=-21.52
  Ep 1800 | SR=0% | Steps=15.0 | R=-16.99
  Ep 1810 | SR=0% | Steps=15.0 | R=-10.11
  Ep 1820 | SR=0% | Steps=15.0 | R=-23.29
  Ep 1830 | SR=0% | Steps=15.0 | R=-24.91
  Ep 1840 | SR=0% | Steps=15.0 | R=-30.68
  Ep 1850 | SR=0% | Steps=15.0 | R=-25.50
  Ep 1860 | SR=0% | Steps=15.0 | R=-10.56
  Ep 1870 | SR=0% | Steps=15.0 | R=-13.52
  Ep 1880 | SR=0% | Steps=15.0 | R=-10.50
  Ep 1890 | SR=0% | Steps=15.0 | R=-18.72
  Ep 1900 | SR=0% | Steps=15.0 | R=-11.00
  Ep 1910 | SR=0% | Steps=15.0 | R=-21.80
  Ep 1920 | SR=0% | Steps=15.0 | R=-19.91
  Ep 1930 | SR=0% | Steps=15.0 | R=-25.64
  Ep 1940 | SR=0% | Steps=15.0 | R=-18.64
  Ep 1950 | SR=0% | Steps=15.0 | R=-15.58
  Ep 1960 | SR=0% | Steps=15.0 | R=-25.26
  Ep 1970 | SR=0% | Steps=15.0 | R=-15.06
  Ep 1980 | SR=0% | Steps=15.0 | R=-22.11
  Ep 1990 | SR=0% | Steps=15.0 | R=-18.05
  Ep 2000 | SR=0% | Steps=15.0 | R=-26.45
  Ep 2010 | SR=0% | Steps=15.0 | R=-12.37
  Ep 2020 | SR=0% | Steps=15.0 | R=-10.12
  Ep 2030 | SR=0% | Steps=15.0 | R=-20.60
  Ep 2040 | SR=0% | Steps=15.0 | R=-16.15
  Ep 2050 | SR=0% | Steps=15.0 | R=-16.64
  Ep 2060 | SR=0% | Steps=15.0 | R=-14.26
  Ep 2070 | SR=0% | Steps=15.0 | R=-9.51
  Ep 2080 | SR=0% | Steps=15.0 | R=-5.16
  Ep 2090 | SR=0% | Steps=15.0 | R=-18.54
  Ep 2100 | SR=0% | Steps=15.0 | R=-9.74
  Ep 2110 | SR=0% | Steps=15.0 | R=-11.24
  Ep 2120 | SR=0% | Steps=15.0 | R=-16.78
  Ep 2130 | SR=0% | Steps=15.0 | R=-17.91
  Ep 2140 | SR=0% | Steps=15.0 | R=-18.21
  Ep 2150 | SR=0% | Steps=15.0 | R=-15.25
  Ep 2160 | SR=0% | Steps=15.0 | R=-17.30
  Ep 2170 | SR=0% | Steps=15.0 | R=-8.69
  Ep 2180 | SR=0% | Steps=15.0 | R=-9.29
  Ep 2190 | SR=0% | Steps=15.0 | R=-5.12
  Ep 2200 | SR=0% | Steps=15.0 | R=-18.34
  Ep 2210 | SR=0% | Steps=15.0 | R=-15.28
  Ep 2220 | SR=0% | Steps=15.0 | R=-18.40
  Ep 2230 | SR=0% | Steps=15.0 | R=-9.13
  Ep 2240 | SR=0% | Steps=15.0 | R=-18.37
  Ep 2250 | SR=0% | Steps=15.0 | R=-10.44
  Ep 2260 | SR=0% | Steps=15.0 | R=-16.87
  Ep 2270 | SR=0% | Steps=15.0 | R=-19.36
  Ep 2280 | SR=0% | Steps=15.0 | R=-10.16
  Ep 2290 | SR=0% | Steps=15.0 | R=-4.46
  Ep 2300 | SR=0% | Steps=15.0 | R=-20.38
  Ep 2310 | SR=0% | Steps=15.0 | R=-8.09
  Ep 2320 | SR=0% | Steps=15.0 | R=-20.28
  Ep 2330 | SR=0% | Steps=15.0 | R=-10.39
  Ep 2340 | SR=0% | Steps=15.0 | R=-21.96
  Ep 2350 | SR=0% | Steps=15.0 | R=-21.69
  Ep 2360 | SR=0% | Steps=15.0 | R=-19.01
  Ep 2370 | SR=0% | Steps=15.0 | R=-7.79
  Ep 2380 | SR=0% | Steps=15.0 | R=-13.88
  Ep 2390 | SR=0% | Steps=15.0 | R=-20.39
  Ep 2400 | SR=0% | Steps=15.0 | R=-24.07
  Ep 2410 | SR=0% | Steps=15.0 | R=-11.52
  Ep 2420 | SR=0% | Steps=15.0 | R=-17.13
  Ep 2430 | SR=0% | Steps=15.0 | R=-11.54
  Ep 2440 | SR=0% | Steps=15.0 | R=-17.04
